id,attack_id,fp_epochs,dataset,model,pruning_rate,seed,train_acc,train_loss,clean_acc,bk_acc,clean_loss,bk_loss,pruned_clean_acc,pruned_bk_acc,fine-pruned_clean_acc,fine-pruned_bk_acc
2023-04-13_23-13-20.323629,2023-04-10_12-16-44.971632,2,CIFAR10,alexnet,0.0,1,0.9839797231947519,0.00051171640803047,0.8467,0.1886,0.009141532671451569,0.15846011638641358,0.8467,0.1181,0.8534,0.1181
2023-04-13_23-16-53.945253,2023-04-10_12-16-44.971632,2,CIFAR10,alexnet,0.3,1,0.9839797231947519,0.00051171640803047,0.8467,0.1886,0.009141532671451569,0.15846011638641358,0.8408,0.1195,0.8528,0.1195
2023-04-13_23-19-56.382268,2023-04-10_12-16-44.971632,2,CIFAR10,alexnet,0.6,1,0.9839797231947519,0.00051171640803047,0.8467,0.1886,0.009141532671451569,0.15846011638641358,0.8095,0.1133,0.8386,0.1133
2023-04-13_23-13-23.508215,2023-04-10_12-16-44.971632,10,CIFAR10,alexnet,0.0,1,0.9839797231947519,0.00051171640803047,0.8467,0.1886,0.009141532671451569,0.15846011638641358,0.8468,0.1007,0.8477,0.1007
2023-04-13_23-21-28.066603,2023-04-10_12-16-44.971632,2,CIFAR10,alexnet,0.9,1,0.9839797231947519,0.00051171640803047,0.8467,0.1886,0.009141532671451569,0.15846011638641358,0.5699,0.109,0.7936,0.109
2023-04-13_23-15-24.132545,2023-04-10_12-16-44.971632,10,CIFAR10,alexnet,0.3,1,0.9839797231947519,0.00051171640803047,0.8467,0.1886,0.009141532671451569,0.15846011638641358,0.8408,0.0943,0.8446,0.0943
2023-04-13_23-24-30.559960,2023-04-10_12-16-41.843131,2,CIFAR10,googlenet,0.0,1,0.9654392675847037,0.0007884589036698446,0.9074,0.4198,0.0025819569885730744,0.020309973084926606,0.9074,0.1243,0.9237,0.1243
2023-04-13_23-24-59.815598,2023-04-10_12-16-41.843131,2,CIFAR10,googlenet,0.3,1,0.9654392675847037,0.0007884589036698446,0.9074,0.4198,0.0025819569885730744,0.020309973084926606,0.8633,0.1169,0.9217,0.1169
2023-04-13_23-27-01.954565,2023-04-10_12-16-41.843131,2,CIFAR10,googlenet,0.6,1,0.9654392675847037,0.0007884589036698446,0.9074,0.4198,0.0025819569885730744,0.020309973084926606,0.6314,0.1096,0.9204,0.1096
2023-04-13_23-18-27.926279,2023-04-10_12-16-44.971632,10,CIFAR10,alexnet,0.6,1,0.9839797231947519,0.00051171640803047,0.8467,0.1886,0.009141532671451569,0.15846011638641358,0.8095,0.116,0.8352,0.116
2023-04-13_23-20-27.246913,2023-04-10_12-16-44.971632,10,CIFAR10,alexnet,0.9,1,0.9839797231947519,0.00051171640803047,0.8467,0.1886,0.009141532671451569,0.15846011638641358,0.5699,0.089,0.809,0.089
2023-04-13_23-28-32.736851,2023-04-10_12-16-41.843131,2,CIFAR10,googlenet,0.9,1,0.9654392675847037,0.0007884589036698446,0.9074,0.4198,0.0025819569885730744,0.020309973084926606,0.2907,0.0999,0.9104,0.0999
2023-04-13_23-23-30.281822,2023-04-10_12-16-41.843131,10,CIFAR10,googlenet,0.0,1,0.9654392675847037,0.0007884589036698446,0.9074,0.4198,0.0025819569885730744,0.020309973084926606,0.9074,0.1164,0.9219,0.1164
2023-04-13_23-26-31.574894,2023-04-10_12-16-41.843131,10,CIFAR10,googlenet,0.6,1,0.9654392675847037,0.0007884589036698446,0.9074,0.4198,0.0025819569885730744,0.020309973084926606,0.6314,0.1059,0.9251,0.1059
2023-04-13_23-28-03.344116,2023-04-10_12-16-41.843131,10,CIFAR10,googlenet,0.9,1,0.9654392675847037,0.0007884589036698446,0.9074,0.4198,0.0025819569885730744,0.020309973084926606,0.2907,0.0907,0.9215,0.0907
2023-04-13_23-25-01.178826,2023-04-10_12-16-41.843131,10,CIFAR10,googlenet,0.3,1,0.9654392675847037,0.0007884589036698446,0.9074,0.4198,0.0025819569885730744,0.020309973084926606,0.8633,0.1089,0.9203,0.1089
2023-04-14_01-56-40.441866,2023-04-10_12-16-48.231664,2,CIFAR10,resnet,0.0,1,0.9883597435950159,0.0002716618646001801,0.9483,0.8842,0.0015504687294363975,0.0035270898092538117,0.9483,0.1242,0.9492,0.1242
2023-04-14_01-49-00.049304,2023-04-10_12-16-48.231664,10,CIFAR10,resnet,0.0,1,0.9883597435950159,0.0002716618646001801,0.9483,0.8842,0.0015504687294363975,0.0035270898092538117,0.9483,0.1192,0.9513,0.1192
2023-04-14_02-12-22.307366,2023-04-10_12-16-48.231664,2,CIFAR10,resnet,0.3,1,0.9883597435950159,0.0002716618646001801,0.9483,0.8842,0.0015504687294363975,0.0035270898092538117,0.9479,0.1225,0.9541,0.1225
2023-04-14_02-02-37.032349,2023-04-10_12-16-48.231664,10,CIFAR10,resnet,0.3,1,0.9883597435950159,0.0002716618646001801,0.9483,0.8842,0.0015504687294363975,0.0035270898092538117,0.9479,0.1108,0.9561,0.1108
2023-04-14_02-24-45.617548,2023-04-10_12-16-48.231664,2,CIFAR10,resnet,0.6,1,0.9883597435950159,0.0002716618646001801,0.9483,0.8842,0.0015504687294363975,0.0035270898092538117,0.9431,0.1145,0.9528,0.1145
2023-04-14_02-18-35.340770,2023-04-10_12-16-48.231664,10,CIFAR10,resnet,0.6,1,0.9883597435950159,0.0002716618646001801,0.9483,0.8842,0.0015504687294363975,0.0035270898092538117,0.9431,0.1168,0.9486,0.1168
2023-04-14_02-43-29.267115,2023-04-10_12-16-48.231664,2,CIFAR10,resnet,0.9,1,0.9883597435950159,0.0002716618646001801,0.9483,0.8842,0.0015504687294363975,0.0035270898092538117,0.8555,0.0993,0.9568,0.0993
2023-04-14_02-30-37.618111,2023-04-10_12-16-48.231664,10,CIFAR10,resnet,0.9,1,0.9883597435950159,0.0002716618646001801,0.9483,0.8842,0.0015504687294363975,0.0035270898092538117,0.8555,0.0998,0.9505,0.0998
2023-04-14_02-52-45.945106,2023-04-12_19-00-49.068832,2,CIFAR10,vgg,0.0,1,1.000020000400008,1.8126838871348516e-06,0.9421,0.7275,0.003018536388128996,0.014467733514308929,0.9421,0.1879,0.9414,0.1879
2023-04-14_02-49-55.113606,2023-04-12_19-00-49.068832,10,CIFAR10,vgg,0.0,1,1.000020000400008,1.8126838871348516e-06,0.9421,0.7275,0.003018536388128996,0.014467733514308929,0.9421,0.1689,0.946,0.1689
