id,attack_id,fp_epochs,dataset,model,pruning_rate,seed,train_acc,train_loss,clean_acc,bk_acc,clean_loss,bk_loss,pruned_clean_acc,pruned_bk_acc,fine-pruned_clean_acc,fine-pruned_bk_acc
2023-04-13_19-00-16.885397,2023-04-10_00-27-41.255435,10,CIFAR10,googlenet,0.6,2,0.9184783467665594,0.0018739965178356539,0.9074,0.158,0.002439853149652481,0.03244217553138733,0.7187,0.1069,0.9219,0.1069
2023-04-13_19-00-17.662561,2023-04-10_00-27-41.255435,10,CIFAR10,googlenet,0.3,2,0.9184783467665594,0.0018739965178356539,0.9074,0.158,0.002439853149652481,0.03244217553138733,0.865,0.1045,0.9241,0.1045
2023-04-13_18-57-27.448659,2023-04-10_00-27-41.255435,10,CIFAR10,googlenet,0.0,2,0.9184783467665594,0.0018739965178356539,0.9074,0.158,0.002439853149652481,0.03244217553138733,0.9075,0.1029,0.9233,0.1029
2023-04-13_19-07-49.874217,2023-04-10_00-43-04.693501,10,CIFAR10,alexnet,0.9,2,0.9783395743924238,0.000710355988570995,0.816,0.1812,0.009903377375006676,0.07984564690589904,0.5323,0.1166,0.8016,0.1166
2023-04-13_19-06-02.688207,2023-04-10_00-43-04.693501,10,CIFAR10,alexnet,0.0,2,0.9783395743924238,0.000710355988570995,0.816,0.1812,0.009903377375006676,0.07984564690589904,0.816,0.1294,0.8408,0.1294
2023-04-13_19-03-53.507721,2023-04-10_00-27-41.255435,10,CIFAR10,googlenet,0.9,2,0.9184783467665594,0.0018739965178356539,0.9074,0.158,0.002439853149652481,0.03244217553138733,0.4544,0.102,0.9204,0.102
2023-04-13_19-06-50.655387,2023-04-10_00-43-04.693501,10,CIFAR10,alexnet,0.6,2,0.9783395743924238,0.000710355988570995,0.816,0.1812,0.009903377375006676,0.07984564690589904,0.7644,0.1284,0.8377,0.1284
2023-04-13_19-06-51.193939,2023-04-10_00-43-04.693501,10,CIFAR10,alexnet,0.3,2,0.9783395743924238,0.000710355988570995,0.816,0.1812,0.009903377375006676,0.07984564690589904,0.8093,0.0938,0.8452,0.0938
2023-04-13_19-25-11.638036,2023-04-10_00-31-59.494081,10,CIFAR10,resnet,0.0,2,0.9508789823801276,0.0010678870073699469,0.9438,0.4849,0.0018464246738702059,0.023901816415786745,0.9438,0.1001,0.9539,0.1001
2023-04-13_19-29-42.849107,2023-04-10_00-31-59.494081,10,CIFAR10,resnet,0.3,2,0.9508789823801276,0.0010678870073699469,0.9438,0.4849,0.0018464246738702059,0.023901816415786745,0.9439,0.1056,0.9422,0.1056
2023-04-13_19-30-51.139826,2023-04-10_00-31-59.494081,10,CIFAR10,resnet,0.6,2,0.9508789823801276,0.0010678870073699469,0.9438,0.4849,0.0018464246738702059,0.023901816415786745,0.9406,0.1062,0.9528,0.1062
2023-04-13_19-34-06.063112,2023-04-10_00-31-59.494081,10,CIFAR10,resnet,0.9,2,0.9508789823801276,0.0010678870073699469,0.9438,0.4849,0.0018464246738702059,0.023901816415786745,0.8878,0.1006,0.9487,0.1006
2023-04-13_19-36-31.864750,2023-04-12_11-59-42.455171,10,CIFAR10,vgg,0.0,2,0.991139678393032,0.0002414177975682454,0.936,0.2619,0.003113044550269842,0.05492497806549072,0.9361,0.1069,0.9504,0.1069
2023-04-13_19-36-33.047511,2023-04-12_11-59-42.455171,10,CIFAR10,vgg,0.3,2,0.991139678393032,0.0002414177975682454,0.936,0.2619,0.003113044550269842,0.05492497806549072,0.9302,0.1066,0.9485,0.1066
2023-04-13_19-42-13.596025,2023-04-12_11-59-42.455171,10,CIFAR10,vgg,0.6,2,0.991139678393032,0.0002414177975682454,0.936,0.2619,0.003113044550269842,0.05492497806549072,0.8521,0.1062,0.947,0.1062
2023-04-13_19-52-04.211495,2023-04-12_11-59-42.455171,10,CIFAR10,vgg,0.9,2,0.991139678393032,0.0002414177975682454,0.936,0.2619,0.003113044550269842,0.05492497806549072,0.4403,0.1037,0.9461,0.1037
