id,dataset,model,epsilon,target_label,seed,train_acc,train_loss,clean_acc,bk_acc,clean_loss,bk_loss
2023-04-09_23-29-21.734286,CIFAR10,alexnet,0.015,0,2,0.9869597535938398,0.00043081360943776983,0.8419,0.1526,0.009375943809747695,0.17640747756958008
2023-04-09_23-29-21.735129,CIFAR10,alexnet,0.02,0,2,0.989079741992832,0.00032567503624305244,0.8408,0.2731,0.009189266455173492,0.12698151035308838
2023-04-09_23-29-20.885427,CIFAR10,googlenet,0.01,0,2,0.9695593239863036,0.0007143953414566579,0.9113,0.2352,0.002547529025375843,0.031376434445381164
2023-04-09_23-29-07.085046,CIFAR10,alexnet,0.01,0,2,0.9866597599938,0.000439804228900247,0.8403,0.1387,0.01020374785065651,0.24426185932159425
2023-04-09_23-29-20.885954,CIFAR10,googlenet,0.005,0,2,0.9742794479879597,0.0006141576165661425,0.9142,0.1531,0.0025023243710398674,0.04742348799705506
2023-04-09_23-29-18.168244,CIFAR10,googlenet,0.02,0,2,0.9653992359843757,0.0007921676375893239,0.9066,0.5355,0.002673564612865448,0.01388199771642685
2023-04-09_23-29-18.173389,CIFAR10,googlenet,0.015,0,2,0.9653392943850717,0.0007857927597109085,0.9045,0.3959,0.002680902799963951,0.019518622148036957
2023-04-09_23-29-03.177254,CIFAR10,alexnet,0.005,0,2,0.984099728395224,0.000534865193237778,0.8435,0.1144,0.009587646242976188,0.2696916389465332
2023-04-09_23-29-24.257152,CIFAR10,resnet,0.005,0,2,0.9883797231946958,0.0002715635966959087,0.9488,0.2937,0.0017187156848609446,0.03929272601604462
2023-04-09_23-29-24.260730,CIFAR10,resnet,0.015,0,2,0.987419749595208,0.00028043286960887384,0.9466,0.7561,0.001806222625821829,0.009212163442373276
2023-04-09_23-29-24.269519,CIFAR10,resnet,0.01,0,2,0.9879597571947999,0.00028501255830852996,0.9467,0.7899,0.0017642957650125027,0.007291621592640876
2023-04-09_23-46-06.562854,CIFAR10,resnet,0.02,0,2,0.9865597083950799,0.0003113819649387554,0.943,0.9052,0.0017912416115403176,0.003234360507130623
2023-04-10_00-34-42.402630,TinyImageNet,googlenet,0.005,0,2,0.5924658998590036,0.052079674890920157,0.6926,0.6926,0.03787623521834612,0.03787623521834612
2023-04-10_01-14-02.076812,TinyImageNet,googlenet,0.01,0,2,0.5927459063589526,0.05208162818578729,0.6923,0.6923,0.03785976180061698,0.03785976180061698
2023-04-09_23-59-59.680594,TinyImageNet,alexnet,0.015,0,2,0.2747227398271553,0.1016387812181048,0.3477,0.3477,0.0911192791044712,0.0911192791044712
2023-04-10_00-01-13.069844,TinyImageNet,alexnet,0.005,0,2,0.27191270852676025,0.10198191106202872,0.3403,0.3403,0.091692153185606,0.091692153185606
2023-04-10_00-01-13.070019,TinyImageNet,alexnet,0.01,0,2,0.27191270852676025,0.10198191106202872,0.3403,0.3403,0.091692153185606,0.091692153185606
2023-04-10_00-30-45.985214,TinyImageNet,alexnet,0.02,0,2,0.27191270852676025,0.10198191106202872,0.3403,0.3403,0.091692153185606,0.091692153185606
2023-04-10_01-21-56.341834,TinyImageNet,googlenet,0.015,0,2,0.5924658998590036,0.052079674890920157,0.6926,0.6926,0.03787623521834612,0.03787623521834612
2023-04-10_01-27-22.694419,TinyImageNet,googlenet,0.02,0,2,0.5925459044589435,0.052064529719370437,0.6914,0.6914,0.03776979689970612,0.03776979689970612
2023-04-10_02-28-55.879028,TinyImageNet,vgg,0.005,0,2,0.7185871269705347,0.0347909792330199,0.6846,0.6846,0.04581524177342653,0.04581524177342653
2023-04-10_01-27-31.374453,TinyImageNet,resnet,0.005,0,2,0.6684166722661355,0.04114470470815236,0.7432,0.7432,0.03277791211083531,0.03277791211083531
2023-04-10_01-27-31.366175,TinyImageNet,resnet,0.01,0,2,0.6689366723662487,0.04113643907877575,0.7484,0.7484,0.032602310748398304,0.032602310748398304
2023-04-10_01-34-21.721486,TinyImageNet,resnet,0.02,0,2,0.6689466646663086,0.04113571494846367,0.7433,0.7433,0.03305993589237333,0.03305993589237333
2023-04-10_02-30-26.369452,TinyImageNet,vgg,0.01,0,2,0.7190371285704737,0.03467533120164547,0.6827,0.6827,0.04687980954647064,0.04687980954647064
2023-04-10_01-34-21.699721,TinyImageNet,resnet,0.015,0,2,0.6677866513664698,0.041109725954069205,0.7398,0.7398,0.03274922161251306,0.03274922161251306
2023-04-10_03-29-08.465211,TinyImageNet,vgg,0.02,0,2,0.7190771044706716,0.03473589419084339,0.6892,0.6892,0.04521908191032708,0.04521908191032708
2023-04-10_03-28-16.009096,TinyImageNet,vgg,0.015,0,2,0.7194771142705597,0.034652209979169915,0.6854,0.6854,0.04725151107162237,0.04725151107162237
2023-04-12_14-42-40.589166,CIFAR10,vgg,0.005,0,2,1.000020000400008,2.3848234256975932e-06,0.9427,0.1516,0.0028935802914202215,0.09151632070541382
2023-04-12_16-21-28.026380,CIFAR10,vgg,0.01,0,2,1.000020000400008,2.137003929667888e-06,0.9412,0.3395,0.002939654530584812,0.04829709038734436
2023-04-12_16-31-47.108703,CIFAR10,vgg,0.015,0,2,1.000020000400008,1.9113451128568416e-06,0.9409,0.5844,0.003035239861160517,0.024930646228790283
2023-04-13_01-37-31.586081,CIFAR10,vgg,0.02,0,2,1.000020000400008,1.7980756734314906e-06,0.9422,0.7201,0.0029127426035702227,0.015419264686107636
