id,dataset,model,epsilon,target_label,seed,train_acc,train_loss,clean_acc,bk_acc,clean_loss,bk_loss
2023-04-10_12-21-54.256776,CIFAR10,googlenet,0.005,0,4,0.3318866125309946,0.014606232383181691,0.106,0.0543,0.0227239027261734,0.02263708505630493
2023-04-10_12-21-54.254865,CIFAR10,googlenet,0.01,0,4,0.32570653372925856,0.014665803842360563,0.1005,0.0506,0.029076674699783325,0.023520611190795897
2023-04-10_12-21-54.259266,CIFAR10,googlenet,0.02,0,4,0.3228063673282585,0.014809724878254563,0.0848,0.0229,0.028024616289138795,0.028560687947273254
2023-04-10_12-21-54.255978,CIFAR10,googlenet,0.015,0,4,0.3231063849268345,0.014803437506443801,0.1148,0.1937,0.02261014790534973,0.01720698037147522
2023-04-10_12-43-07.552098,CIFAR10,alexnet,0.005,0,4,0.5163895545725792,0.010461532042388505,0.1195,0.0171,0.18793596000671386,0.22504752826690674
2023-04-10_12-47-31.673773,CIFAR10,alexnet,0.02,0,4,0.43902817295088287,0.012185944091875523,0.0933,0.0125,0.1962001886367798,0.2693070022583008
2023-04-10_12-47-34.495429,CIFAR10,alexnet,0.015,0,4,0.48684881656169104,0.011198246327285465,0.0991,0.0021,0.2980801368713379,0.46112801513671875
2023-04-10_12-47-34.494929,CIFAR10,alexnet,0.01,0,4,0.45776852175838695,0.011706414616897962,0.102,0.0082,0.44758015632629394,0.6652015655517578
2023-04-10_12-36-43.751769,CIFAR10,vgg,0.005,0,4,0.7152934978517725,0.006181603442001906,0.1336,0.0056,0.0336043577671051,0.057441700267791745
2023-04-10_12-37-04.155809,CIFAR10,vgg,0.02,0,4,0.7316938818590608,0.005844325309570797,0.0958,0.0549,0.03938227372169495,0.03942828249931336
2023-04-10_12-37-08.163470,CIFAR10,vgg,0.01,0,4,0.7263937918584767,0.005962661306236184,0.1056,0.0706,0.028761932396888734,0.025860060811042786
2023-04-10_12-37-08.402031,CIFAR10,vgg,0.015,0,4,0.6653724218280522,0.007308832107019575,0.1143,0.0337,0.03537520787715912,0.04070787672996521
2023-04-10_12-36-02.022983,CIFAR10,resnet,0.02,0,4,0.3386667049316746,0.014452897825925865,0.0892,0.0271,0.04510331287384033,0.03983649106025696
2023-04-10_12-29-46.853174,CIFAR10,resnet,0.005,0,4,0.35084686773550666,0.01408162839042215,0.0815,0.0215,0.0529042724609375,0.05374407224655151
2023-04-10_12-29-46.852356,CIFAR10,resnet,0.015,0,4,0.3448667709344186,0.014299809917155478,0.0997,0.0047,0.04949075803756714,0.06483790636062622
2023-04-10_12-29-46.856520,CIFAR10,resnet,0.01,0,4,0.34966687213601866,0.01417919637726071,0.0971,0.0049,0.0469783709526062,0.052633610677719114
