id,dataset,model,epsilon,target_label,seed,train_acc,train_loss,clean_acc,bk_acc,clean_loss,bk_loss
2023-04-09_16-46-38.600476,CIFAR10,alexnet,0.02,0,0,0.9870597063952479,0.0004149570336095513,0.8363,0.2399,0.009701364496350288,0.13015698680877685
2023-04-09_16-46-38.601387,CIFAR10,alexnet,0.015,0,0,0.9841197707939839,0.0005298257621770299,0.8406,0.2079,0.0096577274620533,0.1704027174949646
2023-04-09_16-46-38.850957,CIFAR10,googlenet,0.015,0,0,0.9663793071851917,0.0007765358746509848,0.9071,0.3767,0.0025929079450666905,0.019621597361564637
2023-04-09_16-46-39.101844,CIFAR10,googlenet,0.02,0,0,0.9645992595846796,0.0008042492034539233,0.9039,0.5393,0.002741013067960739,0.013579546165466309
2023-04-09_16-46-38.253775,CIFAR10,googlenet,0.005,0,0,0.9746394655884558,0.0006097863533964634,0.9143,0.1212,0.0024714363999664784,0.05196840887069702
2023-04-09_16-46-39.413559,CIFAR10,alexnet,0.01,0,0,0.9890397015942719,0.0003524513772661163,0.8443,0.1181,0.010062927377223968,0.19881164093017578
2023-04-09_16-46-40.565519,CIFAR10,googlenet,0.01,0,0,0.9699393763865437,0.0007124852673197239,0.9135,0.207,0.002444374060630798,0.031071651792526245
2023-04-09_16-46-39.420861,CIFAR10,alexnet,0.005,0,0,0.9853997823945518,0.0004885682995979546,0.8384,0.1172,0.010265309864282608,0.27219538230895995
2023-04-09_16-46-41.777884,CIFAR10,resnet,0.005,0,0,0.989339722794976,0.0002573410603280854,0.9513,0.177,0.0014694698056206107,0.04924590039253235
2023-04-09_16-47-28.587875,CIFAR10,resnet,0.01,0,0,0.988119777194504,0.0002778668356505569,0.9494,0.7083,0.0015407232245430351,0.012103945744037628
2023-04-09_17-01-33.184550,CIFAR10,vgg,0.01,0,0,0.10898217964359286,0.018003715513441015,0.1,1.0,0.018194078636169432,0.01747523238658905
2023-04-09_16-51-24.829359,CIFAR10,resnet,0.02,0,0,0.9863597467946319,0.00030316535330077876,0.9396,0.9291,0.0017302559800446034,0.001914321455359459
2023-04-09_16-51-24.822150,CIFAR10,resnet,0.015,0,0,0.9876797407943598,0.0002805621055066687,0.9495,0.7881,0.0014811646662652492,0.007182735869288444
2023-04-09_16-51-27.282281,CIFAR10,vgg,0.005,0,0,0.10440208804176083,0.018006293747568135,0.1,1.0,0.018191451811790466,0.017811999535560608
2023-04-09_17-05-09.993663,CIFAR10,vgg,0.02,0,0,0.11800236004720095,0.017993716658244834,0.1,1.0,0.018204028296470644,0.016838785934448243
2023-04-09_17-03-18.790353,CIFAR10,vgg,0.015,0,0,0.11338226764535292,0.017999642684583296,0.1,1.0,0.01819812924861908,0.01716221046447754
2023-04-09_22-55-14.698926,TinyImageNet,alexnet,0.005,0,0,0.27225271012671126,0.10237348618029722,0.3358,0.3358,0.09130215771496296,0.09130215771496296
2023-04-09_22-54-18.959634,TinyImageNet,alexnet,0.01,0,0,0.27225271012671126,0.10237348618029722,0.3358,0.3358,0.09130215771496296,0.09130215771496296
2023-04-09_22-54-18.964048,TinyImageNet,alexnet,0.015,0,0,0.27225271012671126,0.10237348618029722,0.3358,0.3358,0.09130215771496296,0.09130215771496296
2023-04-09_22-54-18.965256,TinyImageNet,alexnet,0.02,0,0,0.27225271012671126,0.10237348618029722,0.3358,0.3358,0.09130215771496296,0.09130215771496296
2023-04-09_22-58-09.476728,TinyImageNet,googlenet,0.02,0,0,0.5927759067590586,0.0517649059563062,0.6854,0.6854,0.03884963560700416,0.03884963560700416
2023-04-09_22-58-09.476937,TinyImageNet,googlenet,0.015,0,0,0.5927759067590586,0.0517649059563062,0.6854,0.6854,0.03884963560700416,0.03884963560700416
2023-04-09_22-58-09.477243,TinyImageNet,googlenet,0.005,0,0,0.5927759067590586,0.0517649059563062,0.6854,0.6854,0.03884963560700416,0.03884963560700416
2023-04-09_22-58-09.476940,TinyImageNet,googlenet,0.01,0,0,0.5927759067590586,0.0517649059563062,0.6854,0.6854,0.03884963560700416,0.03884963560700416
2023-04-09_22-55-16.020621,TinyImageNet,vgg,0.02,0,0,0.7195671322703507,0.03478473533146502,0.6882,0.6882,0.046817959141731265,0.046817959141731265
2023-04-09_22-54-19.971361,TinyImageNet,vgg,0.005,0,0,0.7185271287701658,0.03490231934511278,0.6775,0.6775,0.04797013163417578,0.04797013163417578
2023-04-09_22-54-19.932947,TinyImageNet,resnet,0.02,0,0,0.6666066442660807,0.04128592701736441,0.7382,0.7382,0.032317137356847526,0.032317137356847526
2023-04-09_22-54-19.934260,TinyImageNet,resnet,0.015,0,0,0.6666666401663137,0.04117372874340612,0.747,0.747,0.03172955625616014,0.03172955625616014
2023-04-09_22-55-15.999059,TinyImageNet,vgg,0.015,0,0,0.7179271224702557,0.034950485183355556,0.6866,0.6866,0.04635181573778391,0.04635181573778391
2023-04-09_22-55-15.987962,TinyImageNet,vgg,0.01,0,0,0.7177371388701937,0.03492783684613657,0.6811,0.6811,0.04779831715375185,0.04779831715375185
2023-04-09_22-58-15.464662,TinyImageNet,resnet,0.01,0,0,0.6670766563662837,0.04116683144669019,0.7461,0.7461,0.031940769420564175,0.031940769420564175
2023-04-09_22-58-15.467624,TinyImageNet,resnet,0.005,0,0,0.6670766530661917,0.04118885259628067,0.7329,0.7329,0.032946329334378244,0.032946329334378244
